Date,Day,Month,Time,Source Key,City,State,Temperature (?C),Humidity (%),Power Generated (kW),Equivalent Current (A),Consumption (kW),Energy Loss (%),Demand (kW),Revenue ($),Maintenance Cost ($),Profit ($),Panel Efficiency (%)
24,Friday,9,12:00,1,Chennai,Tamil Nadu,36,52.95,196.98,24.29,0.38,6.98,219.74,121.72,57.24,64.48,20.34
24,Friday,9,13:00,2,Chennai,Tamil Nadu,36.53,54.98,204.39,28.8,163.77,7.18,211.91,135.82,72.87,62.95,17.68
24,Friday,9,14:00,3,Chennai,Tamil Nadu,35.94,50.01,200.01,36.84,88.88,2.71,203.4,146.44,44.32,102.12,24.39
24,Friday,9,15:00,4,Chennai,Tamil Nadu,37.77,52.55,202.95,24.57,57.5,8.78,186.78,149.86,62.17,87.69,15.45
24,Friday,9,16:00,5,Chennai,Tamil Nadu,36.63,43.4,185.5,48.59,98.9,9.93,189.14,121.76,55.97,65.79,18.73
24,Friday,9,17:00,6,Chennai,Tamil Nadu,37.33,45.13,185.7,46.16,89.89,8.6,218.4,133.95,74.91,59.04,20.7
24,Friday,9,18:00,7,Chennai,Tamil Nadu,26.54,89.56,0,0,0,6.95,0,0,0,0,0
24,Friday,9,19:00,8,Chennai,Tamil Nadu,26.58,75.06,0,0,0,3.11,0,0,0,0,0
24,Friday,9,20:00,9,Chennai,Tamil Nadu,28.41,61.5,0,0,0,6.04,0,0,0,0,0
24,Friday,9,21:00,10,Chennai,Tamil Nadu,27.85,83.97,0,0,0,4.7,0,0,0,0,0
24,Friday,9,22:00,11,Chennai,Tamil Nadu,26.16,78.87,0,0,0,5.24,0,0,0,0,0
24,Friday,9,23:00,12,Chennai,Tamil Nadu,25.01,67.49,0,0,0,9.96,0,0,0,0,0
25,Saturday,9,0:00,13,Chennai,Tamil Nadu,26.18,72.94,0,0,0,2.24,0,0,0,0,0
25,Saturday,9,1:00,14,Chennai,Tamil Nadu,27.19,80.03,0,0,0,3.85,0,0,0,0,0
